Correlation Table - 50 periods
https://www.mataf.net
Sat, 22 Jul 2023 20:27:37 +0000
pair1,pair2,5min,15min,1h,4h,day,week
GBPNZD,EURGBP,34.7,-65.1,-65.4,-8.6,-56.9,0
GBPNZD,EURCHF,54,-1.8,34.1,30.1,3.8,0
GBPNZD,AUDCHF,-88.4,-48.8,-39.4,-46,-16,0
GBPNZD,NZDCHF,-96.5,-79.1,-81.6,-48.6,-72.5,0
GBPNZD,CADCHF,-13.5,-57.5,41.5,41.3,4.7,0
GBPNZD,USDCAD,39.8,73.6,89.9,67.6,-57.9,0
GBPNZD,USDCHF,45.6,14.3,68.5,59,-33.8,0
EURNZD,EURUSD,4.8,-11,-69.4,-15.9,34.6,0
EURNZD,GBPUSD,-32.4,20.5,-65.7,-73.9,32.7,0
EURNZD,GBPCAD,24.9,81.4,-10.6,-63.5,19.2,0
EURNZD,CHFJPY,63.6,24.9,69.5,67.6,55.2,0
EURNZD,NZDUSD,-96.5,-96,-92,-80.8,-32.4,0
EURNZD,EURJPY,72.6,4.8,84.2,70.4,51.7,0
EURNZD,AUDUSD,-87.9,-81.6,-92.4,-60.4,-4.9,0
EURNZD,GBPJPY,53.5,18.6,89.3,9.8,47.6,0
EURNZD,EURCAD,45.7,85.1,-33.6,-2.4,13.6,0
EURNZD,NZDJPY,-87.1,-82.4,-3.3,-51.3,5.9,0
EURNZD,AUDJPY,-39.9,-54.6,41.5,16.1,24.4,0
EURNZD,GBPAUD,80.2,86.6,71.5,-10,57.8,0
EURNZD,CADJPY,27.8,-58.9,85.7,71.4,44.4,0
EURNZD,GBPNZD,97.7,90.3,95.1,62.3,87.3,0
EURNZD,EURNZD,100,100,100,100,100,0
EURNZD,EURAUD,93.2,86.2,68.6,82,49.3,0
EURNZD,NZDCAD,-88.2,-38.4,-89,-80.5,-68.3,0
EURNZD,AUDCAD,-52,40.5,-88.1,-61.4,-48.6,0
EURNZD,USDJPY,78.4,11.8,92.5,77,39.3,0
EURNZD,AUDNZD,92.2,71.6,53.8,82.3,35.3,0
EURNZD,GBPCHF,-2.8,9.7,35.9,-66.1,-1.5,0
EURNZD,EURGBP,53.4,-26.1,-38.8,72.6,-9.5,0
EURNZD,EURCHF,57.6,-17.1,22.4,-31,-13,0
EURNZD,AUDCHF,-88,-70.7,-46.7,-87.7,-44,0
EURNZD,NZDCHF,-98.1,-93.4,-91.4,-97.3,-90.3,0
EURNZD,CADCHF,-24,-72.5,30.1,-8.2,-14.2,0
EURNZD,USDCAD,50.3,82.1,87.2,33,-34.2,0
EURNZD,USDCHF,45.2,-10.7,58.5,4.7,-33.1,0
EURAUD,EURUSD,16.2,-8.2,-11,-1.9,34.4,0
EURAUD,GBPUSD,-16,-9.6,0.4,-41.4,16.6,0
EURAUD,GBPCAD,19.5,70.1,51.9,-20.4,38.7,0
EURAUD,CHFJPY,69.3,11.3,66.6,46.1,43.3,0
EURAUD,NZDUSD,-87.1,-82.6,-43.2,-59.8,1.8,0
EURAUD,EURJPY,78.9,-21.4,61.6,54.8,33.1,0
EURAUD,AUDUSD,-89.2,-92.8,-70.2,-59.7,-44.4,0
EURAUD,GBPJPY,65,-17.7,65,21.2,19.7,0
EURAUD,EURCAD,36.5,90.2,28.8,25.1,63,0
EURAUD,NZDJPY,-73.3,-85.6,4.1,-45.7,11.7,0
EURAUD,AUDJPY,-41,-79.9,-16.1,-16.9,-24.3,0
EURAUD,GBPAUD,91.9,77.3,92.7,31.5,87.3,0
EURAUD,CADJPY,41.3,-76.2,37.7,33,5.2,0
EURAUD,GBPNZD,92.7,65.3,65.1,64.2,21.8,0
EURAUD,EURNZD,93.2,86.2,68.6,82,49.3,0
EURAUD,EURAUD,100,100,100,100,100,0
EURAUD,NZDCAD,-85.3,-3.6,-36,-50.1,8.3,0
EURAUD,AUDCAD,-65.9,28.7,-73.1,-49.8,-64.4,0
EURAUD,USDJPY,78.7,-19.8,45.8,51,12.9,0
EURAUD,AUDNZD,72.4,26.4,-24.4,35,-64,0
EURAUD,GBPCHF,10.9,-28.1,-2.9,-37.8,-49.6,0
EURAUD,EURGBP,42.9,5.6,-27.2,48,38.6,0
EURAUD,EURCHF,61.5,-45.5,-32.3,0.4,-41.2,0
EURAUD,AUDCHF,-93.3,-92.7,-93.1,-91,-95,0
EURAUD,NZDCHF,-89.6,-91.9,-82.8,-73.5,-59.3,0
EURAUD,CADCHF,-11.2,-86.4,-31.1,-22.2,-59.6,0
EURAUD,USDCAD,32,86,55.6,58.8,7.5,0
EURAUD,USDCHF,36.7,-45,-1.9,1.8,-41.1,0
NZDCAD,EURUSD,21.5,3.9,92.4,66.6,21.4,0
NZDCAD,GBPUSD,35.8,-22.8,87.4,92.7,8.1,0
NZDCAD,GBPCAD,18.5,0.6,45.9,84.6,43.9,0
NZDCAD,CHFJPY,-60.8,-38.6,-41.8,-30.7,-17.8,0
NZDCAD,NZDUSD,92.3,36.8,98.6,97.1,67.5,0
NZDCAD,EURJPY,-63.8,-57.8,-66.7,-31.2,-28.1,0
NZDCAD,AUDUSD,91.9,4.6,88.6,82.5,13.9,0
NZDCAD,GBPJPY,-55.7,-54.1,-77.4,9.6,-32.1,0
NZDCAD,EURCAD,1.4,15.9,72.9,61.2,63.1,0
NZDCAD,NZDJPY,78.2,-0,17.8,72.3,4.3,0
NZDCAD,AUDJPY,40,-33.2,-49.9,4,-33.6,0
NZDCAD,GBPAUD,-82.5,-19.3,-49.7,2.3,-7.2,0
NZDCAD,CADJPY,-58.8,-41.6,-89.6,-82.5,-54.5,0
NZDCAD,GBPNZD,-91.3,-41.3,-90.6,-69.8,-71.7,0
NZDCAD,EURNZD,-88.2,-38.4,-89,-80.5,-68.3,0
NZDCAD,EURAUD,-85.3,-3.6,-36,-50.1,8.3,0
NZDCAD,NZDCAD,100,100,100,100,100,0
NZDCAD,AUDCAD,82.5,42.1,85.6,91,51.4,0
NZDCAD,USDJPY,-82.5,-68.7,-93.7,-85.5,-61.1,0
NZDCAD,AUDNZD,-79.1,-68.8,-77,-82,-69.1,0
NZDCAD,GBPCHF,-7,-46.2,-64.7,36.7,-44.9,0
NZDCAD,EURGBP,-27.9,24.7,51.9,-41.1,31,0
NZDCAD,EURCHF,-39.9,-53.7,-58.6,16.1,-42,0
NZDCAD,AUDCHF,85.4,-19.9,6.5,52.4,-21.2,0
NZDCAD,NZDCHF,89.4,14.1,65.2,76.4,39.7,0
NZDCAD,CADCHF,-20.2,-31.2,-69.4,-49.5,-59.9,0
NZDCAD,USDCAD,-12.7,13.5,-81.5,-28.5,24.7,0
NZDCAD,USDCHF,-60.5,-64.3,-86.8,-52.2,-30.1,0
AUDCAD,EURUSD,25.3,-7.7,71.9,83,21.2,0
AUDCAD,GBPUSD,14,35.8,57.8,81.7,24.5,0
AUDCAD,GBPCAD,52.6,73.8,7.4,66.7,30.3,0
AUDCAD,CHFJPY,-49.7,-9.9,-49.6,1,-20.8,0
AUDCAD,NZDUSD,58.2,-39.5,87,93.4,53.9,0
AUDCAD,EURJPY,-47.9,-25.7,-65.8,-2.9,-25.2,0
AUDCAD,AUDUSD,74.7,-29.1,97.1,95.5,70.1,0
AUDCAD,GBPJPY,-55.2,5.6,-79.5,10.5,-17.8,0
AUDCAD,EURCAD,45.9,67.2,44.3,71.4,18.8,0
AUDCAD,NZDJPY,39.7,-48.8,18.7,80.7,-2.9,0
AUDCAD,AUDJPY,32.4,-35,-14.2,37.2,11.8,0
AUDCAD,GBPAUD,-76.3,48.4,-83.5,-31.1,-59.8,0
AUDCAD,CADJPY,-81.4,-61.9,-75.5,-63.3,-32.8,0
AUDCAD,GBPNZD,-60.1,49.5,-92.5,-77.4,-31.4,0
AUDCAD,EURNZD,-52,40.5,-88.1,-61.4,-48.6,0
AUDCAD,EURAUD,-65.9,28.7,-73.1,-49.8,-64.4,0
AUDCAD,NZDCAD,82.5,42.1,85.6,91,51.4,0
AUDCAD,AUDCAD,100,100,100,100,100,0
AUDCAD,USDJPY,-66.4,-25.1,-82,-74.3,-56.9,0
AUDCAD,AUDNZD,-31,36.7,-32.8,-50.8,26.5,0
AUDCAD,GBPCHF,-25.8,12.4,-54.3,3.9,1.8,0
AUDCAD,EURGBP,8.3,-40.2,60.6,-10.1,-18.2,0
AUDCAD,EURCHF,-20.3,-30.9,-32,-13.1,-17.5,0
AUDCAD,AUDCHF,68.7,-34.2,46.6,40,46.4,0
AUDCAD,NZDCHF,53.5,-46.1,75.6,52.2,33.3,0
AUDCAD,CADCHF,-61.4,-63.3,-40.8,-68.5,-19.5,0
AUDCAD,USDCAD,36.8,64.5,-78.6,-46.3,-12.4,0
AUDCAD,USDCHF,-49.5,-29.2,-63.4,-74.7,-22.9,0
USDJPY,EURUSD,-6.4,3.7,-80.6,-54.4,2.1,0
USDJPY,GBPUSD,-28.2,44.6,-78.3,-86.8,11.8,0
USDJPY,GBPCAD,-7.6,-0.5,-33.1,-73.9,-23,0
USDJPY,CHFJPY,88.1,78,67.6,52.5,57.1,0
USDJPY,NZDUSD,-78.9,-10,-93.9,-87.2,-24.1,0
USDJPY,EURJPY,86.8,89.1,86.4,59.1,71.7,0
USDJPY,AUDUSD,-78.1,19.2,-86.2,-73.2,-7.8,0
USDJPY,GBPJPY,77.2,85.5,92,30.2,70.6,0
USDJPY,EURCAD,10.7,-26.6,-54.9,-41.8,-41.6,0
USDJPY,NZDJPY,-47.6,40.4,13.1,-34,62.4,0
USDJPY,AUDJPY,4.7,68,65.5,28,66.3,0
USDJPY,GBPAUD,71.6,11.6,53.6,-8.2,29.7,0
USDJPY,CADJPY,69.7,65.5,97.5,93.5,88.1,0
USDJPY,GBPNZD,78.1,28.3,89.8,57.8,47.2,0
USDJPY,EURNZD,78.4,11.8,92.5,77,39.3,0
USDJPY,EURAUD,78.7,-19.8,45.8,51,12.9,0
USDJPY,NZDCAD,-82.5,-68.7,-93.7,-85.5,-61.1,0
USDJPY,AUDCAD,-66.4,-25.1,-82,-74.3,-56.9,0
USDJPY,USDJPY,100,100,100,100,100,0
USDJPY,AUDNZD,68.9,50.2,70.1,75.3,20.6,0
USDJPY,GBPCHF,3.4,64,44.3,-39.8,54.6,0
USDJPY,EURGBP,37.8,-42.5,-41.1,47.1,-29.9,0
USDJPY,EURCHF,48,63.1,34.4,-9.5,59.8,0
USDJPY,AUDCHF,-75.2,41.2,-23.8,-50.5,10,0
USDJPY,NZDCHF,-76.1,12.7,-78.7,-71.2,-7.1,0
USDJPY,CADCHF,8.9,42.9,48.4,34.2,51.6,0
USDJPY,USDCAD,17.4,-25.8,81.7,40.8,-38,0
USDJPY,USDCHF,47,68.5,70.6,43.5,15,0
AUDNZD,EURUSD,-9.5,-10.2,-79.9,-23.8,-6.6,0
AUDNZD,GBPUSD,-46.2,52.1,-88.2,-79.8,11,0
AUDNZD,GBPCAD,25.1,58.3,-74.4,-83.6,-24.5,0
AUDNZD,CHFJPY,50.6,31.8,15.2,65.2,2,0
AUDNZD,NZDUSD,-92.6,-69.2,-72.7,-72.8,-30.6,0
AUDNZD,EURJPY,56.9,38.6,40.7,61,9.9,0
AUDNZD,AUDUSD,-74.2,-27.8,-41.9,-39.3,43.3,0
AUDNZD,GBPJPY,35.1,60,43.5,-5.1,20.6,0
AUDNZD,EURCAD,47,37.3,-78.3,-28.5,-55.6,0
AUDNZD,NZDJPY,-87.7,-39,-9.4,-38.5,-7.6,0
AUDNZD,AUDJPY,-30.3,6.2,73.7,43.3,47.5,0
AUDNZD,GBPAUD,55.8,58.5,-12.2,-47.8,-42.9,0
AUDNZD,CADJPY,12.3,-6.7,70.4,84,33.5,0
AUDNZD,GBPNZD,88.4,81.9,51.3,37.9,53.6,0
AUDNZD,EURNZD,92.2,71.6,53.8,82.3,35.3,0
AUDNZD,EURAUD,72.4,26.4,-24.4,35,-64,0
AUDNZD,NZDCAD,-79.1,-68.8,-77,-82,-69.1,0
AUDNZD,AUDCAD,-31,36.7,-32.8,-50.8,26.5,0
AUDNZD,USDJPY,68.9,50.2,70.1,75.3,20.6,0
AUDNZD,AUDNZD,100,100,100,100,100,0
AUDNZD,GBPCHF,-17.5,57.3,51.3,-70.8,51.9,0
AUDNZD,EURGBP,57,-57.6,-20.1,71.4,-49.9,0
AUDNZD,EURCHF,44.9,30,67.6,-51.2,32.7,0
AUDNZD,AUDCHF,-69.7,-6.8,45.7,-53.3,63.3,0
AUDNZD,NZDCHF,-92.5,-51.2,-25.7,-86.3,-16,0
AUDNZD,CADCHF,-32.4,-18.6,76.3,8.3,51.3,0
AUDNZD,USDCAD,61.3,37.6,51.8,-4.4,-38,0
AUDNZD,USDCHF,48.3,42.2,80.3,5.5,15,0
GBPCHF,EURUSD,37.6,8,-81,-36.3,-7,0
GBPCHF,GBPUSD,74.5,90.2,-56.4,48.4,22,0
GBPCHF,GBPCAD,13.6,29.4,-30.1,61.5,-10.1,0
GBPCHF,CHFJPY,3,23.8,-27.8,-88.4,14.3,0
GBPCHF,NZDUSD,11.8,-6.6,-63.5,25.4,-6.1,0
GBPCHF,EURJPY,22.5,59.6,-0.2,-79.2,33.5,0
GBPCHF,AUDUSD,6.4,27.9,-56.4,-7.2,31.8,0
GBPCHF,GBPJPY,52.3,90.5,27.1,14.7,49.7,0
GBPCHF,EURCAD,-18.8,-16,-79.8,-26.1,-62,0
GBPCHF,NZDJPY,19.2,25.6,-57.4,-6,40,0
GBPCHF,AUDJPY,16.2,55.4,2.3,-62.6,63.4,0
GBPCHF,GBPAUD,38.9,32.2,30.8,74.2,-9.6,0
GBPCHF,CADJPY,36.6,42.5,37.2,-55.8,59.5,0
GBPCHF,GBPNZD,12.1,46,58.2,15.5,39.5,0
GBPCHF,EURNZD,-2.8,9.7,35.9,-66.1,-1.5,0
GBPCHF,EURAUD,10.9,-28.1,-2.9,-37.8,-49.6,0
GBPCHF,NZDCAD,-7,-46.2,-64.7,36.7,-44.9,0
GBPCHF,AUDCAD,-25.8,12.4,-54.3,3.9,1.8,0
GBPCHF,USDJPY,3.4,64,44.3,-39.8,54.6,0
GBPCHF,AUDNZD,-17.5,57.3,51.3,-70.8,51.9,0
GBPCHF,GBPCHF,100,100,100,100,100,0
GBPCHF,EURGBP,-64.4,-86.1,-85.3,-97.7,-83,0
GBPCHF,EURCHF,47.2,71.5,85.5,80.3,77.8,0
GBPCHF,AUDCHF,11.1,50.9,35.3,67.9,66.8,0
GBPCHF,NZDCHF,13.9,17.9,-0.6,78.8,34.7,0
GBPCHF,CADCHF,47.8,37.7,84.6,50.4,72.9,0
GBPCHF,USDCAD,-46.6,-17.2,51.8,31.7,-43.2,0
GBPCHF,USDCHF,3.6,74.4,86.7,54.1,28.1,0
EURGBP,EURUSD,8.8,26.3,61.9,31.5,-25.6,0
EURGBP,GBPUSD,-61.5,-85.9,25.4,-54.5,-55.7,0
EURGBP,GBPCAD,16.7,-60.2,-15.2,-62.4,-31.4,0
EURGBP,CHFJPY,31.8,-14.2,4.7,87.6,-31.6,0
EURGBP,NZDUSD,-49.6,31.5,54.6,-32.9,-19.3,0
EURGBP,EURJPY,38,-25.3,-11.1,82.9,-38.8,0
EURGBP,AUDUSD,-37.1,5.1,61.5,-2.5,-54.3,0
EURGBP,GBPJPY,-4.4,-75.1,-42.1,-11.9,-58.4,0
EURGBP,EURCAD,60.9,-13.7,48.9,27.4,31.1,0
EURGBP,NZDJPY,-46.1,8,41.5,1.4,-40.1,0
EURGBP,AUDJPY,-12.1,-19.2,11.8,58.5,-62.3,0
EURGBP,GBPAUD,4.2,-59.1,-61.3,-68.1,-11.2,0
EURGBP,CADJPY,-16.4,-3.2,-32.2,58.4,-51.2,0
EURGBP,GBPNZD,34.7,-65.1,-65.4,-8.6,-56.9,0
EURGBP,EURNZD,53.4,-26.1,-38.8,72.6,-9.5,0
EURGBP,EURAUD,42.9,5.6,-27.2,48,38.6,0
EURGBP,NZDCAD,-27.9,24.7,51.9,-41.1,31,0
EURGBP,AUDCAD,8.3,-40.2,60.6,-10.1,-18.2,0
EURGBP,USDJPY,37.8,-42.5,-41.1,47.1,-29.9,0
EURGBP,AUDNZD,57,-57.6,-20.1,71.4,-49.9,0
EURGBP,GBPCHF,-64.4,-86.1,-85.3,-97.7,-83,0
EURGBP,EURGBP,100,100,100,100,100,0
EURGBP,EURCHF,36.5,-26.1,-46,-65.9,-29.5,0
EURGBP,AUDCHF,-38.8,-15.3,4.4,-71.2,-41.4,0
EURGBP,NZDCHF,-50.8,12.7,20.1,-81.1,-4.2,0
EURGBP,CADCHF,-53.1,1.4,-49.3,-46.8,-33.3,0
EURGBP,USDCAD,65.4,-20.6,-54.4,-17.5,60.4,0
EURGBP,USDCHF,19.3,-50.9,-60.3,-45.9,13.4,0
EURCHF,EURUSD,54.8,51.5,-76.3,-38.9,-40.5,0
EURCHF,GBPUSD,19.2,53.4,-70.6,19.8,-24.9,0
EURCHF,GBPCAD,36.6,-26.5,-66.4,44.2,-52.6,0
EURCHF,CHFJPY,40.1,25.7,-42.8,-67.4,-10.9,0
EURCHF,NZDUSD,-42.6,30.5,-53.8,-1.3,-32,0
EURCHF,EURJPY,70.9,78.5,-11.5,-48,13.9,0
EURCHF,AUDUSD,-34.2,60,-34.7,-31.7,-6.6,0
EURCHF,GBPJPY,58.5,68.8,4.2,19.5,19.5,0
EURCHF,EURCAD,47.9,-48.7,-87.4,-14.2,-71,0
EURCHF,NZDJPY,-29,59.2,-56.6,-16.3,23.4,0
EURCHF,AUDJPY,7.4,78.8,15.7,-57,38.5,0
EURCHF,GBPAUD,50.9,-19.8,-8.7,71.7,-28.8,0
EURCHF,CADJPY,25,76.1,31.4,-35.1,44.3,0
EURCHF,GBPNZD,54,-1.8,34.1,30.1,3.8,0
EURCHF,EURNZD,57.6,-17.1,22.4,-31,-13,0
EURCHF,EURAUD,61.5,-45.5,-32.3,0.4,-41.2,0
EURCHF,NZDCAD,-39.9,-53.7,-58.6,16.1,-42,0
EURCHF,AUDCAD,-20.3,-30.9,-32,-13.1,-17.5,0
EURCHF,USDJPY,48,63.1,34.4,-9.5,59.8,0
EURCHF,AUDNZD,44.9,30,67.6,-51.2,32.7,0
EURCHF,GBPCHF,47.2,71.5,85.5,80.3,77.8,0
EURCHF,EURGBP,36.5,-26.1,-46,-65.9,-29.5,0
EURCHF,EURCHF,100,100,100,100,100,0
EURCHF,AUDCHF,-29.7,75.5,64.7,41.1,67.5,0
EURCHF,NZDCHF,-40.9,51.1,19.1,52.2,54.4,0
EURCHF,CADCHF,-3.5,73,95.1,46.3,87.3,0
EURCHF,USDCAD,19.9,-60.6,33.9,63.7,-6.3,0
EURCHF,USDCHF,27.9,71.2,87.7,61.8,62.9,0
AUDCHF,EURUSD,6.4,27.6,-20.5,-14.4,-41.4,0
AUDCHF,GBPUSD,31.2,29.7,-27.5,46.1,-21.6,0
AUDCHF,GBPCAD,-8.2,-62.6,-67.5,37,-49,0
AUDCHF,CHFJPY,-66.9,2.5,-70.3,-70,-38.6,0
AUDCHF,NZDUSD,87.7,73.6,14.2,54,-12.4,0
AUDCHF,EURJPY,-64.4,48.8,-54.2,-69.9,-21.8,0
AUDCHF,AUDUSD,93.2,93.5,43.3,41.3,33.9,0
AUDCHF,GBPJPY,-51.8,42.1,-51,-11.1,-9.1,0
AUDCHF,EURCAD,-25,-86.9,-56.8,-28.7,-75.1,0
AUDCHF,NZDJPY,76.6,88,-25.2,35,-1.4,0
AUDCHF,AUDJPY,51.9,91.9,18.9,-8.2,33,0
AUDCHF,GBPAUD,-86.9,-65.1,-78.2,1.1,-80.5,0
AUDCHF,CADJPY,-37.4,88.1,-18.5,-44.7,11.1,0
AUDCHF,GBPNZD,-88.4,-48.8,-39.4,-46,-16,0
AUDCHF,EURNZD,-88,-70.7,-46.7,-87.7,-44,0
AUDCHF,EURAUD,-93.3,-92.7,-93.1,-91,-95,0
AUDCHF,NZDCAD,85.4,-19.9,6.5,52.4,-21.2,0
AUDCHF,AUDCAD,68.7,-34.2,46.6,40,46.4,0
AUDCHF,USDJPY,-75.2,41.2,-23.8,-50.5,10,0
AUDCHF,AUDNZD,-69.7,-6.8,45.7,-53.3,63.3,0
AUDCHF,GBPCHF,11.1,50.9,35.3,67.9,66.8,0
AUDCHF,EURGBP,-38.8,-15.3,4.4,-71.2,-41.4,0
AUDCHF,EURCHF,-29.7,75.5,64.7,41.1,67.5,0
AUDCHF,AUDCHF,100,100,100,100,100,0
AUDCHF,NZDCHF,91.2,89.2,74.2,88.7,66.3,0
AUDCHF,CADCHF,14.9,94.4,61.7,39.4,77.9,0
AUDCHF,USDCAD,-33.4,-88.8,-31.9,-27.1,-8.4,0
AUDCHF,USDCHF,-33.2,63.1,35.3,23.9,54.5,0
NZDCHF,EURUSD,8,28,38.1,5.1,-46.6,0
NZDCHF,GBPUSD,40.9,2,36.7,71.3,-38.5,0
NZDCHF,GBPCAD,-18.9,-80.3,-17.2,67.9,-39.2,0
NZDCHF,CHFJPY,-61.2,-12.3,-87.7,-76.7,-51.1,0
NZDCHF,NZDUSD,97.9,94.7,70.2,72.4,13.7,0
NZDCHF,EURJPY,-64.1,24.2,-89.5,-74.4,-37.4,0
NZDCHF,AUDUSD,90.3,93.1,78.8,46.7,1.3,0
NZDCHF,GBPJPY,-45.8,9,-88.1,-3.4,-31.7,0
NZDCHF,EURCAD,-39.3,-91.8,-2.6,-0.9,-42.1,0
NZDCHF,NZDJPY,90.7,93.4,-20,42.7,5.5,0
NZDCHF,AUDJPY,46.6,76.3,-34.8,-27.8,-3.9,0
NZDCHF,GBPAUD,-77.6,-82.5,-75.9,26.3,-61.3,0
NZDCHF,CADJPY,-25.3,78.9,-73.1,-72.5,-18.2,0
NZDCHF,GBPNZD,-96.5,-79.1,-81.6,-48.6,-72.5,0
NZDCHF,EURNZD,-98.1,-93.4,-91.4,-97.3,-90.3,0
NZDCHF,EURAUD,-89.6,-91.9,-82.8,-73.5,-59.3,0
NZDCHF,NZDCAD,89.4,14.1,65.2,76.4,39.7,0
NZDCHF,AUDCAD,53.5,-46.1,75.6,52.2,33.3,0
NZDCHF,USDJPY,-76.1,12.7,-78.7,-71.2,-7.1,0
NZDCHF,AUDNZD,-92.5,-51.2,-25.7,-86.3,-16,0
NZDCHF,GBPCHF,13.9,17.9,-0.6,78.8,34.7,0
NZDCHF,EURGBP,-50.8,12.7,20.1,-81.1,-4.2,0
NZDCHF,EURCHF,-40.9,51.1,19.1,52.2,54.4,0
NZDCHF,AUDCHF,91.2,89.2,74.2,88.7,66.3,0
NZDCHF,NZDCHF,100,100,100,100,100,0
NZDCHF,CADCHF,25.5,89.6,9.4,18.3,49.8,0
NZDCHF,USDCAD,-51.3,-93.5,-73.8,-14,26.1,0
NZDCHF,USDCHF,-44.5,35.2,-22.4,10.6,55.1,0
CADCHF,EURUSD,-28.2,25.2,-85.1,-94.7,-60.5,0
CADCHF,GBPUSD,14,11.9,-79.8,-45.1,-40.9,0
CADCHF,GBPCAD,-80.1,-77.5,-76.3,-37.1,-75.5,0
CADCHF,CHFJPY,-5.7,5.6,-28.3,-56.9,-27.5,0
CADCHF,NZDUSD,15,74.4,-62.7,-50.6,-51.5,0
CADCHF,EURJPY,-4.8,49.2,2.6,-52.8,-5.9,0
CADCHF,AUDUSD,-1.3,87.1,-41.7,-63.1,-11.8,0
CADCHF,GBPJPY,18.6,32.8,18.1,-19.2,3,0
CADCHF,EURCAD,-89,-95.2,-98.1,-94.3,-96.4,0
CADCHF,NZDJPY,27.9,89.6,-42.5,-53.2,1,0
CADCHF,AUDJPY,11.3,88,32.2,-44.2,28.6,0
CADCHF,GBPAUD,9.9,-70.5,-6.4,32.6,-46.5,0
CADCHF,CADJPY,69.6,94.4,48.2,27.7,35.9,0
CADCHF,GBPNZD,-13.5,-57.5,41.5,41.3,4.7,0
CADCHF,EURNZD,-24,-72.5,30.1,-8.2,-14.2,0
CADCHF,EURAUD,-11.2,-86.4,-31.1,-22.2,-59.6,0
CADCHF,NZDCAD,-20.2,-31.2,-69.4,-49.5,-59.9,0
CADCHF,AUDCAD,-61.4,-63.3,-40.8,-68.5,-19.5,0
CADCHF,USDJPY,8.9,42.9,48.4,34.2,51.6,0
CADCHF,AUDNZD,-32.4,-18.6,76.3,8.3,51.3,0
CADCHF,GBPCHF,47.8,37.7,84.6,50.4,72.9,0
CADCHF,EURGBP,-53.1,1.4,-49.3,-46.8,-33.3,0
CADCHF,EURCHF,-3.5,73,95.1,46.3,87.3,0
CADCHF,AUDCHF,14.9,94.4,61.7,39.4,77.9,0
CADCHF,NZDCHF,25.5,89.6,9.4,18.3,49.8,0
CADCHF,CADCHF,100,100,100,100,100,0
CADCHF,USDCAD,-85.4,-95.7,37,25.2,-1,0
CADCHF,USDCHF,33.2,62.5,92.7,94,76.3,0
USDCAD,EURUSD,-5.3,-38.8,-78.8,-45,-77.2,0
USDCAD,GBPUSD,-48.6,0.1,-69.3,-25.6,-86.6,0
USDCAD,GBPCAD,65.7,87,-3.7,11.3,-40.7,0
USDCAD,CHFJPY,7,-3.8,43.3,-15.3,-79.4,0
USDCAD,NZDUSD,-49.7,-87.2,-90.1,-50.5,-54.8,0
USDCAD,EURJPY,12,-40.5,59.6,2.2,-80.6,0
USDCAD,AUDUSD,-34.1,-91.9,-91.1,-70.4,-79.4,0
USDCAD,GBPJPY,-16.3,-15.6,71.8,31.6,-85.5,0
USDCAD,EURCAD,83.2,95.4,-37.4,-4.1,-3.1,0
USDCAD,NZDJPY,-59.5,-92.8,-28.5,-42.8,-75.2,0
USDCAD,AUDJPY,-33.4,-82.3,22.6,-45.4,-87,0
USDCAD,GBPAUD,8.3,82.4,66.9,67.9,-23.8,0
USDCAD,CADJPY,-58.3,-89.9,66.9,5.9,-77.3,0
USDCAD,GBPNZD,39.8,73.6,89.9,67.6,-57.9,0
USDCAD,EURNZD,50.3,82.1,87.2,33,-34.2,0
USDCAD,EURAUD,32,86,55.6,58.8,7.5,0
USDCAD,NZDCAD,-12.7,13.5,-81.5,-28.5,24.7,0
USDCAD,AUDCAD,36.8,64.5,-78.6,-46.3,-12.4,0
USDCAD,USDJPY,17.4,-25.8,81.7,40.8,-38,0
USDCAD,AUDNZD,61.3,37.6,51.8,-4.4,-38,0
USDCAD,GBPCHF,-46.6,-17.2,51.8,31.7,-43.2,0
USDCAD,EURGBP,65.4,-20.6,-54.4,-17.5,60.4,0
USDCAD,EURCHF,19.9,-60.6,33.9,63.7,-6.3,0
USDCAD,AUDCHF,-33.4,-88.8,-31.9,-27.1,-8.4,0
USDCAD,NZDCHF,-51.3,-93.5,-73.8,-14,26.1,0
USDCAD,CADCHF,-85.4,-95.7,37,25.2,-1,0
USDCAD,USDCAD,100,100,100,100,100,0
USDCAD,USDCHF,20,-37.3,69.1,56.6,63.9,0
USDCHF,EURUSD,-64.2,-23.5,-98,-96.5,-96.5,0
USDCHF,GBPUSD,-63.5,38.3,-90,-47.5,-87.4,0
USDCHF,GBPCAD,-33.5,-13.7,-60.9,-27.6,-84.4,0
USDCHF,CHFJPY,-0,7.9,-4.6,-53.8,-72.6,0
USDCHF,NZDUSD,-61.2,3.3,-85.1,-60.9,-75.1,0
USDCHF,EURJPY,10.9,49.2,26.1,-44.2,-56.7,0
USDCHF,AUDUSD,-64.8,31.6,-69.1,-78.5,-60.3,0
USDCHF,GBPJPY,2.9,63.2,43,-5.3,-53.1,0
USDCHF,EURCAD,-17.8,-48,-91.4,-81.8,-76.2,0
USDCHF,NZDJPY,-55.6,37,-44.5,-60.4,-48,0
USDCHF,AUDJPY,-41.9,60.4,34.3,-53.7,-34.3,0
USDCHF,GBPAUD,33.4,-3.7,21.9,51.7,-51.3,0
USDCHF,CADJPY,24.3,60.3,64.5,25.7,-22.4,0
USDCHF,GBPNZD,45.6,14.3,68.5,59,-33.8,0
